66,3,22,3,processed,"316 jpg images,covering Galeras Lunas exterior and Casa Falos ",2018-07-13,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.13\2018.07.13.galeria.luna.casa.falcos.sfma,sfm w/ control points ,null
67,4,23,3,processed,201 jpg images,2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.venus.sfma,sfm,null
68,1,23,3,processed,1852 jpg images,2018-07-16,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.16\2018.07.16.venus.sfmg,sfm,null
69,4,21,1,null,null,null,null,null,null
70,4,24,3,processed,2001 jpg images,2018-07-16,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.16\2018.07.16.mesas.sfmg,sfm,null
71,3,24,5,processed,"312 jpg images of interior painted columns. thiso nly extends to the western portions of the westernmost columns, as the rest of the interior was still walled off ",2023-10-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_drissolo\grandes_mesa_interior,sfm,null
72,4,25,4,processed,"stitched pano image, and 26 jpg images ",2023-11-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_smeacham\Meacham_Drone Panoramics data\20230211-Mavic2-360s\Temple of Warriors Panoramic,360 pano,null
73,3,25,3,processed,"12492 jpg images, paying special attention to carvings on columns ",2018-07-16,"mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.16\2018.07.16.guerreros.sfmg""",sfm,null
74,4,25,3,processed,"1168 jpg images, covering temple of the warriors and surrounding coulmns, and some of temple grandes mesas",2018-07-15,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.15\2018.07.15.guerreros.grandes.mesas.sfma,sfm,null
75,5,26,5,processed,"only 20 jpg images, does provide some context for positioning of objects on the wester side ",2023-10-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_drissolo\templo_guerros_interior,sfm,null
76,3,26,5,processed,1 laz pointcloud,2023-08-02,null,pointclouds,null
77,4,27,3,processed,180 jpg images,2018-07-16,"mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.16\2018.07.16.tableros.sfma""",sfm,null
78,4,27,3,processed,1394 jpg images,2018-07-15,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.15\2018.07.15.tableros.sfmg,sfm,null
79,3,28,3,processed,1599 jpg images,2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.buhos.sfmg,sfm,null
80,4,28,3,processed,210 jpg images,2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.casa.buhos.sfma,sfm,null
81,3,28,3,processed,"1430 jpg images, covering aerial footprint and flew low and parralell to capture facade ",2018-07-13,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.13\2018.07.13.casa.buhos.sfmg,sfm,null
